"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"DISCK","Discovery Communications, Inc.","63","5895560412","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/disck",
"DSCO","Discovery Laboratories, Inc.","2.65","115322954.4","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/dsco",
"DISH","DISH Network Corporation","35.09","15894292816.27","n/a","1995","Consumer Services","Television Services","http://www.nasdaq.com/symbol/dish",
"DLHC","DLH Holdings Corp.","1.1241","10474590.8682","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/dlhc",
"DNBF","DNB Financial Corp","16.75","45554991.75","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dnbf",
"DLTR","Dollar Tree, Inc.","41.89","9517673373.15","n/a","1995","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/dltr",
"DGICA","Donegal Group, Inc.","14.63","375108430.62","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/dgica",
"DGICB","Donegal Group, Inc.","18.76","481000284.24","n/a","1986","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/dgicb",
"DMLP","Dorchester Minerals, L.P.","23.52","721486137.12","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dmlp",
"DORM","Dorman Products, Inc.","34.58","1259345367.28","n/a","1981","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dorm",
"HILL","Dot Hill Systems Corporation","1.32","77031386.52","n/a","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/hill",
"DBLE","Double Eagle Petroleum Company","4.7","53059475","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dble",
"DBLEP","Double Eagle Petroleum Company","25.81","41554100","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dblep",
"DOVR","Dover Saddlery, Inc.","3.93","20965897.62","n/a","2005","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/dovr",
"DRWI","DragonWave Inc","2.16","82173927.6","n/a","2009","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/drwi",
"DWA","Dreamworks Animation SKG, Inc.","17.07","1440023271.09","n/a","2004","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/dwa",
"DRYS","DryShips Inc.","1.97","836781620.68","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/drys",
"DSKX","DS Healthcare Group, Inc.","2.85","34407890.4","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/dskx",
"DSPG","DSP Group, Inc.","7.52","163745134.88","n/a","1994","Technology","Semiconductors","http://www.nasdaq.com/symbol/dspg",
"DTSI","DTS, Inc.","19.98","374201963.46","n/a","1985","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/dtsi",
"DNKN","Dunkin&#39; Brands Group, Inc.","37.11","3917271110.7","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dnkn",
"DRTX","Durata Therapeutics, Inc.","7.54","138554127.66","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/drtx",
"DRRX","Durect Corporation","1.14","100101956.76","n/a","2000","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/drrx",
"DXPE","DXP Enterprises, Inc.","58.4","828158252.8","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dxpe",
"DYAX","Dyax Corp.","3.35","332305950.1","n/a","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/dyax",
"BOOM","Dynamic Materials Corporation","17.33","234153671.12","n/a","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/boom",
"DRCO","Dynamics Research Corporation","6.71","70581396.27","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/drco",
"DYSL","Dynasil Corporation of America","0.96","14361792","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dysl",
"DYNT","Dynatronics Corporation","2.628","6588143.712","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dynt",
